"TrackID","LastfmID","Artist","Title","URL","SpotifyURL","ClipStart(s)","ClipEnd(s)"
1,372,"Autechre","Dael","http://www.last.fm/music/autechre/_/dael","spotify:track:5z8uWv4R927ntK6jlke9yj",169.100,183.975
2,684,"Lalo Schifrin","Music To Interrogate By","http://www.last.fm/music/lalo%2bschifrin/_/music%2bto%2binterrogate%2bby","spotify:track:0BoQLvFVHn1gOmhrPgupJv",30.000,59.925
3,4319,"Daft Punk","Nightvision","http://www.last.fm/music/daft%2bpunk/_/nightvision","spotify:track:63JXZZRbmzooashakb0zbu",61.100,75.975
4,5321,"Portishead","Sour Times","http://www.last.fm/music/portishead/_/sour%2btimes","spotify:track:3jD8mKsaq5iDmLhRGx9hLJ",30.025,59.950
5,5486,"The Rolling Stones","Shine A Light","http://www.last.fm/music/the%2brolling%2bstones/_/shine%2ba%2blight","spotify:track:2buh513m5yawvYEngCrpBW",187.575,217.500
6,5520,"Tindersticks","Travelling Light","http://www.last.fm/music/tindersticks/_/travelling%2blight","spotify:track:0xmq1eTMRrUOdxlDeUFf9R",30.025,59.950
7,6300,"FischerSpooner","Natural Disaster","http://www.last.fm/music/fischerspooner/_/natural%2bdisaster","spotify:track:4vD6cfCdAVFGZ3ttf8kE3u",111.050,125.925
8,6430,"Horace Silver","Que Pasa (Trio Version)","http://www.last.fm/music/horace%2bsilver/_/que%2bpasa%2b%2528trio%2bversion%2529","spotify:track:0XYtgwFlc7Xtby9uXDL3I8",59.500,89.450
9,6829,"Janet Jackson","Someone to Call My Lover","http://www.last.fm/music/janet%2bjackson/_/someone%2bto%2bcall%2bmy%2blover","spotify:track:47Y83Em4wJ08Owm7vKHfIN",119.025,133.900
10,9554,"Chet Baker","I Fall In Love Too Easily","http://www.last.fm/music/chet%2bbaker/_/i%2bfall%2bin%2blove%2btoo%2beasily","spotify:track:2IeEWrkgj747gIFgJxFRrK",30.000,59.925
